cell_type,concentration,n_distinguishable,top_markers
0,0.0001,0,"[309, 129, 132, 160, 411, 126, 131, 122, 125, 123]"
0,0.0001167798623737652,0,"[902, 229, 89, 1068, 847, 1143, 56, 335, 64, 224]"
0,0.0001363753625603554,0,"[36, 1011, 718, 835, 118, 47, 901, 853, 221, 800]"
0,0.00015925896070970654,0,"[815, 658, 814, 502, 65, 589, 1097, 116, 180, 404]"
0,0.00018598239513468407,0,"[280, 41, 968, 739, 1060, 10, 1045, 385, 134, 984]"
0,0.00021718998507771627,0,"[472, 229, 121, 1068, 454, 457, 224, 56, 902, 64]"
0,0.0002536341656633582,0,"[515, 227, 346, 611, 568, 158, 767, 772, 685, 1034]"
0,0.00029619362959451735,0,"[586, 720, 798, 510, 1010, 643, 1034, 685, 404, 772]"
0,0.00034589451300033727,0,"[1028, 833, 1079, 125, 422, 845, 999, 22, 13, 126]"
0,0.00040393513624019926,0,"[296, 899, 657, 564, 53, 767, 831, 1034, 404, 685]"
0,0.0004717148961805861,0,"[224, 589, 750, 229, 56, 656, 404, 1034, 685, 772]"
0,0.0005508680065562379,0,"[831, 125, 267, 564, 296, 767, 1034, 404, 685, 772]"
0,0.0006433028999174784,0,"[683, 675, 472, 64, 1068, 296, 404, 1034, 772, 685]"
0,0.0007512482411700718,0,"[1041, 1008, 267, 767, 1107, 296, 404, 1034, 685, 772]"
0,0.0008773066621237416,0,"[806, 323, 1107, 267, 767, 296, 404, 1034, 685, 772]"
0,0.0010245175126239797,0,"[976, 831, 391, 267, 296, 767, 404, 1034, 685, 772]"
0,0.0011964301412374049,0,"[391, 831, 267, 323, 296, 767, 404, 1034, 685, 772]"
0,0.0013971894723352873,0,"[564, 976, 767, 1107, 267, 296, 1034, 404, 685, 772]"
0,0.001631635942893885,0,"[564, 831, 1107, 267, 296, 767, 404, 1034, 685, 772]"
0,0.0019054222085523648,0,"[564, 831, 391, 767, 267, 296, 404, 1034, 685, 772]"
0,0.002225149432786609,0,"[323, 391, 1107, 767, 267, 296, 404, 1034, 685, 772]"
0,0.002598526445218819,2,"[1107, 391, 564, 267, 767, 296, 404, 1034, 685, 772]"
0,0.003034555606472433,3,"[806, 1107, 391, 767, 267, 296, 404, 1034, 685, 772]"
0,0.0035437498608938797,5,"[1107, 831, 391, 767, 267, 296, 404, 1034, 685, 772]"
0,0.004138386210422373,7,"[564, 1107, 391, 267, 767, 296, 404, 1034, 685, 772]"
0,0.0048328017210261245,7,"[564, 391, 1107, 267, 767, 296, 404, 1034, 685, 772]"
